map_id;vab_group_id
0;0
1;46
2;18
3;18
4;19
5;20
6;17
7;17
8;19
9;20
10;17
11;13
12;19
13;20
14;17
15;17
16;21
17;21
18;21
19;21
20;21
21;9
22;9
23;9
24;9
25;6
26;12
27;12
28;12
29;12
30;12
31;12
32;12
33;12
34;6
35;0
36;0
37;0
38;0
39;0
40;0
41;8
42;8
43;8
44;64
45;8
46;8
47;23
48;41
49;44
50;43
51;41
52;42
53;66
54;66
55;0
56;0
57;0
58;0
59;0
60;0
61;4
62;4
63;4
64;4
65;4
66;4
67;4
68;4
69;10
70;10
71;10
72;10
73;10
74;10
75;10
76;7
77;59
78;59
79;59
80;16
81;16
82;16
83;16
84;31
85;16
86;15
87;15
88;15
89;15
90;15
91;15
92;15
93;15
94;15
95;32
96;0
97;0
98;0
99;0
100;14
101;14
102;14
103;14
104;14
105;14
106;14
107;14
108;14
109;25
110;48
111;48
112;48
113;48
114;48
115;2
116;2
117;2
118;0
119;0
120;0
121;0
122;0
123;22
124;11
125;11
126;11
127;11
128;11
129;0
130;0
131;0
132;0
133;0
134;0
135;57
136;57
137;57
138;51
139;5
140;67
141;60
142;2
143;2
144;60
145;0
146;5
147;46
148;46
149;46
150;46
151;46
152;46
153;35
154;46
155;46
156;46
157;4
158;54
159;54
160;54
161;74
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;0
178;0
179;0
180;0
181;0
182;0
183;0
184;0
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;0
201;0
202;0
203;0
204;0
205;0
206;0
207;0
208;0
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;0
224;0
225;0
226;76
227;0
228;0
229;11
230;0
231;0
232;0
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;0
248;0
249;0
250;0
251;0
252;0
253;0
254;0
255;0
256;0
257;0
258;0
259;0
260;0
261;0
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;0
271;1
272;1
273;1
274;1
275;0
276;0
277;0
278;0
279;0
280;0
281;0
282;0
283;0
284;0
285;0
286;0
287;0
288;0
289;1
290;1
291;1
292;1
293;49
294;0
295;0
296;0
297;0
298;0
299;0
300;0
301;0
302;0
303;15
304;68
305;2
306;2
307;2
308;2
309;58
310;2
311;72
312;0
313;0
314;0
315;0
316;0
317;0
318;0
319;0
320;0
321;27
322;0
323;30
324;29
325;28
326;33
327;61
328;4
329;63
330;0
331;17
332;0
333;0
334;0
335;0
336;0
337;55
338;52
339;55
340;75
341;55
342;55
343;55
344;55
345;55
346;55
347;70
348;55
349;52
350;55
351;52
352;52
353;52
354;52
355;55
356;52
357;1
358;11
359;1
360;1
361;1
362;3
363;3
364;0
365;0
366;0
367;13
368;13
369;46
370;0
371;0
372;0
373;0
374;0
375;0
376;0
377;0
378;0
379;5
380;14
381;69
382;45
383;45
384;45
385;45
386;45
387;0
388;0
389;56
390;56
391;56
392;56
393;17
394;0
395;4
396;36
397;0
398;5
399;6
400;12
401;0
402;0
403;21
404;21
405;21
406;21
407;19
408;16
409;16
410;16
411;16
412;56
413;56
414;56
415;61
416;19
417;56
418;56
419;56
420;56
421;40
422;40
423;40
424;40
425;40
426;40
427;0
428;0
429;60
430;60
431;0
432;73
433;52
434;53
435;24
436;24
437;24
438;24
439;40
440;58
441;58
442;58
443;47
444;47
445;47
446;47
447;47
448;47
449;26
450;21
451;65
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;38
472;39
473;39
474;39
475;0
476;62
477;0
478;56
479;20
480;71
481;1
482;0
